"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Blockchain Technology in the Oil and Gas Industry: A Review of Applications, Opportunities, Challenges, and Risks","H. Lu; K. Huang; M. Azimi; L. Guo","Trenchless Technology Center, Louisiana Tech University, Ruston, LA, USA; State Key Laboratory of Oil and Gas Reservoir Geology and Exploitation, Southwest Petroleum University, Chengdu, China; Trenchless Technology Center, Louisiana Tech University, Ruston, LA, USA; China Center for Information Industry Development, Beijing, China","IEEE Access","9 Apr 2019","2019","7","","41426","41444","Blockchain technology has been developed for more than ten years and has become a trend in various industries. As the oil and gas industry is gradually shifting toward intelligence and digitalization, many large oil and gas companies were working on blockchain technology in the past two years because of it can significantly improve the management level, efficiency, and data security of the oil and gas industry. This paper aims to let more people in the oil and gas industry understand the blockchain and lead more thinking about how to apply the blockchain technology. To the best of our knowledge, this is one of the earliest papers on the review of the blockchain system in the oil and gas industry. This paper first presents the relevant theories and core technologies of the blockchain, and then describes how the blockchain is applied to the oil and gas industry from four aspects: trading, management and decision making, supervision, and cyber security. Finally, the application status, the understanding level of the blockchain in the oil and gas industry, opportunities, challenges, and risks and development trends are analyzed. The main conclusions are as follows: 1) at present, Europe and Asia have the fastest pace of developing the application of blockchain in the oil and gas industry, but there are still few oil and gas blockchain projects in operation or testing worldwide; 2) nowadays, the understanding of blockchain in the oil and gas industry is not sufficiently enough, the application is still in the experimental stage, and the investment is not enough; and (3) blockchain can bring many opportunities to the oil and gas industry, such as reducing transaction costs and improving transparency and efficiency. However, since it is still in the early stage of the application, there are still many challenges, primarily technological, and regulatory and system transformation. The development of blockchains in the oil and gas industry will move toward hybrid blockchain architecture, multi-technology combination, cross-chain, hybrid consensus mechanisms, and more interdisciplinary professionals.","2169-3536","","10.1109/ACCESS.2019.2907695","China Scholarship Council(grant numbers:201708030006); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8675726","Blockchain;oil and gas industry;smart contract;oil and gas trade;track equipment;supervision","Blockchain;Oils;Natural gas industry;Peer-to-peer computing;Natural gas;Security;Distributed databases","decision making;financial data processing;gas industry;investment;petroleum industry;security of data","blockchain technology;gas industry;gas blockchain projects;oil industry;gas companies;oil companies;decision making;cyber security;hybrid blockchain architecture;multitechnology combination;hybrid consensus mechanism","","85","1","145","OAPA","27 Mar 2019","","","IEEE","IEEE Journals"
"New Complementary Points of Cyber Security Schemes for Critical Digital Assets at Nuclear Power Plants","J. Son; J. Choi; H. Yoon","Department of Nuclear ICT, Korea Atomic Energy Research Institute, South Korea; Department of Nuclear ICT, Korea Atomic Energy Research Institute, South Korea; Department of Graduate School of Information Security, Korea Advanced Institute of Science and Technology, South Korea","IEEE Access","24 Jun 2019","2019","7","","78379","78390","As the importance of cyber security for nuclear power plants has recently increased, related organizations such as manufactures, operators, regulators, and research institutes have taken into consideration the many concerns for effective application of cyber security to critical digital assets at nuclear power plants. It is essential to analyze and research how to effectively apply nuclear cyber security requirements and what complementary factors are present in the overall process for a nuclear security technology system. The complementary points of nuclear cyber security technology could be analyzed through diverse cyber security methods such as cyber security assurance, assessments, and software development life cycle. It is necessary to apply nuclear cyber security technology effectively in accordance with the operation, assurance, and system development process of a nuclear facility. These analysis results could be applied to technical points for the cyber security of critical digital assets at nuclear power plants in the future and to technology that needs to be at the appropriate level of cyber security to ensure technical assurance. This paper is a new approach to compare and analyze various methods used in the cyber security field to discover complementary points for the application of cyber security to critical systems in nuclear power plants. Additionally, this paper also presents effective methods for developing and applying, evaluating, and regulating cyber security in nuclear digital critical systems using the complementary points of various cyber security methods identified in the analysis.","2169-3536","","10.1109/ACCESS.2019.2922335","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8735864","Nuclear power plant;I&C;digital system;cyber security;digital system;regulatory guide;safety;assurance;CC;SDOE;V&V;SDL;assessment;ICS","Computer security;Safety;Software;Power generation;Licenses;Digital systems","computer network security;nuclear engineering computing;security of data","nuclear digital critical systems;complementary points;cyber security schemes;critical digital assets;nuclear power plants;nuclear cyber security requirements;nuclear security technology system;nuclear cyber security technology;cyber security assurance;cyber security field","","6","","39","OAPA","12 Jun 2019","","","IEEE","IEEE Journals"
"Industry 4.0 Implementation Challenges and Opportunities: A Managerial Perspective","B. Bajic; A. Rikalovic; N. Suzic; V. Piuri","Department of Industrial Engineering and Management, University of Novi Sad, Novi Sad, Serbia; Department of Industrial Engineering and Management, University of Novi Sad, Novi Sad, Serbia; Department of Management and Engineering, University of Padova, Vicenza, Italy; Department of Computer Science, Università degli Studi di Milano, Milano, Italy","IEEE Systems Journal","9 Mar 2021","2021","15","1","546","559","Industry 4.0 is a concept aimed at achieving the integration of physical parts of the manufacturing process (i.e., complex machinery, various devices, and sensors) and cyber parts (i.e., advanced software) via networks and driven by Industry 4.0 technology categories used for prediction, control, maintenance, and integration of manufacturing processes. Industry 4.0, which is expected to have a great impact on manufacturing systems in the future, is attracting attention in both industry and academia. Although academic research on Industry 4.0 is growing exponentially, evidence of Industry 4.0 implementation in practice is still scarce. Moreover, the challenges industry faces when implementing the Industry 4.0 concept seem to be even less addressed. At the start of the present survey, a preliminary literature review identified a lack of comprehensive analysis of the Industry 4.0 implementation challenges. Thus, the purpose of the present article is to provide an overview of the reported Industry 4.0 implementation challenges in the relevant literature by conducting a systematic literature review. Specifically, while the present study differentiates between managerial and technological Industry 4.0 implementation challenges, the focus of the present article is on the managerial Industry 4.0 implementation challenges. This overview is performed by deriving an inductively coded Industry 4.0 technology framework that classifies Industry 4.0 technologies into ten categories: cyber physical systems, Internet of Things, big data analytics, cloud computing, fog and edge computing, augmented and virtual reality, robotics, cyber security, semantic web technologies, and additive manufacturing. The present article identifies, codes, and defines the managerial Industry 4.0 implementation challenges and derives opportunities for overcoming them.","1937-9234","","10.1109/JSYST.2020.3023041","Developing and testing Industry 4.0 Mass Customization Implementation Guidelines for SMEs; H2020 Program(grant numbers:825333 MOSAICrOWN); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9207825","Big data analytics (BDA);cyber physical systems (CPS);Industry 4.0;Internet of Things (IoT);managerial implementation challenges;manufacturing;systematic literature review","Industries;Bibliographies;Manufacturing;Systematics;Internet of Things;Service robots","Big Data;cloud computing;cyber-physical systems;data analysis;Internet of Things;manufacturing systems;production engineering computing;robots;security of data;semantic Web;virtual reality","manufacturing process;Industry 4.0 implementation challenges;technological Industry;managerial Industry;Industry 4.0 technology framework;cyber physical systems;Internet of Things;big data analytics;cloud computing;fog computing;edge computing;augmented reality;virtual reality;cyber security;semantic web technologies;additive manufacturing","","16","","62","IEEE","28 Sep 2020","","","IEEE","IEEE Journals"
"IMDoC: Identification of Malicious Domain Campaigns via DNS and Communicating Files","D. Lazar; K. Cohen; A. Freund; A. Bartik; A. Ron","Department of Computer Science, Ben-Gurion University of the Negev, Beer Sheva, Israel; School of Electrical and Computer Engineering, Ben-Gurion University of the Negev, Beer Sheva, Israel; IBM Cyber Security Center of Excellence, Beer Sheva, Israel; IBM Cyber Security Center of Excellence, Beer Sheva, Israel; IBM Cyber Security Center of Excellence, Beer Sheva, Israel","IEEE Access","25 Mar 2021","2021","9","","45242","45258","Cyber attacks have become more sophisticated and frequent over the years. Detecting the components operated during a cyber attack and relating them to a specific threat actor is one of the main challenges facing cyber security systems. Reliable detection of malicious components and identification of the threat actor is imperative to mitigate security issues by Security Operations Center (SOC) analysts. The Domain Name System (DNS) plays a significant role in most cyber attacks observed nowadays in that domains act as a Command and Control (C&C) in coordinated bot network attacks or impersonate legitimate websites in phishing attacks. Thus, DNS analysis has become a popular tool for malicious domain identification. In this collaborative research associating Ben-Gurion University and IBM, we develop a novel algorithm to detect malicious domains and relate them to a specific malware campaign in a large-scale real-data DNS traffic environment, dubbed Identification of Malicious Domain Campaigns (IMDoC) algorithm. Its novelty resides in developing a framework that combines the existence of communicating files for the observed domains and their DNS request patterns in a real production environment. The analysis was conducted on real data from Quad9 (9.9.9.9) DNS recursive resolvers combined with malicious communicating files extracted from VirusTotal, and confirms the strong performance of the algorithm on a real large-scale data production environment.","2169-3536","","10.1109/ACCESS.2021.3066957","IBM Cyber Security Center of Excellence at Gav-Yam Negev; Israeli National Cyber Bureau via the Cyber Security Research Center at Ben-Gurion University of the Negev; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9381197","Cyber security;domain name system (DNS);clustering methods;detection algorithms","Malware;Servers;IP networks;Security;Production;Prediction algorithms;Reliability","computer crime;computer network security;invasive software;IP networks","malicious communicating files;Quad9 DNS recursive resolvers;observed domains;IMDoC;Malicious Domain Campaigns algorithm;dubbed Identification;real-data DNS traffic environment;specific malware campaign;malicious domains;collaborative research associating Ben-Gurion University;malicious domain identification;DNS analysis;phishing attacks;coordinated bot network attacks;Domain Name System;Security Operations Center analysts;security issues;malicious components;reliable detection;cyber security systems;specific threat actor;cyber attack","","","","55","CCBYNCND","18 Mar 2021","","","IEEE","IEEE Journals"
"A Holistic Review of Cybersecurity and Reliability Perspectives in Smart Airports","N. Koroniotis; N. Moustafa; F. Schiliro; P. Gauravaram; H. Janicke","Cyber Security Cooperative Research Centre (CSCRC), Perth, WA, Australia; Cyber Security Cooperative Research Centre (CSCRC), Perth, WA, Australia; Cyber Security Cooperative Research Centre (CSCRC), Perth, WA, Australia; Cyber Security Cooperative Research Centre (CSCRC), Perth, WA, Australia; Cyber Security Cooperative Research Centre (CSCRC), Perth, WA, Australia","IEEE Access","1 Dec 2020","2020","8","","209802","209834","Advances in the Internet of Things (IoT) and aviation sector have resulted in the emergence of smart airports. Services and systems powered by the IoT enable smart airports to have enhanced robustness, efficiency and control, governed by real-time monitoring and analytics. Smart sensors control the environmental conditions inside the airport, automate passenger-related actions and support airport security. However, these augmentations and automation introduce security threats to network systems of smart airports. Cyber-attackers demonstrated the susceptibility of IoT systems and networks to Advanced Persistent Threats (APT), due to hardware constraints, software flaws or IoT misconfigurations. With the increasing complexity of attacks, it is imperative to safeguard IoT networks of smart airports and ensure reliability of services, as cyber-attacks can have tremendous consequences such as disrupting networks, cancelling travel, or stealing sensitive information. There is a need to adopt and develop new Artificial Intelligence (AI)-enabled cyber-defence techniques for smart airports, which will address the challenges brought about by the incorporation of IoT systems to the airport business processes, and the constantly evolving nature of contemporary cyber-attacks. In this study, we present a holistic review of existing smart airport applications and services enabled by IoT sensors and systems. Additionally, we investigate several types of cyber defence tools including AI and data mining techniques, and analyse their strengths and weaknesses in the context of smart airports. Furthermore, we provide a classification of smart airport sub-systems based on their purpose and criticality and address cyber threats that can affect the security of smart airport's networks.","2169-3536","","10.1109/ACCESS.2020.3036728","Cyber Security Research Centre Ltd.; Australian Government’s Cooperative Research Centres Programme(grant numbers:RG201120); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9252856","Cyber security;artificial intelligence;smart airport;Industry 4.0;Internet of Things (IoT)","Tools;Airports;Software reliability;Internet of Things;Artificial intelligence;Task analysis;Intelligent sensors","aerospace computing;airports;artificial intelligence;computer network reliability;computer network security;computerised instrumentation;data mining;intelligent sensors;Internet of Things","smart airport subsystem classification;data mining techniques;cyberdefence techniques;AI;artificial intelligence;advanced persistent threats;APT;airport security;smart sensors;aviation sector;Internet of Things;reliability perspectives;cybersecurity;smart airport applications;IoT systems","","7","","212","CCBYNCND","9 Nov 2020","","","IEEE","IEEE Journals"
"The Best Laid Plans or Lack Thereof: Security Decision-Making of Different Stakeholder Groups","B. Shreeve; J. Hallett; M. Edwards; K. M. Ramokapane; R. Atkins; A. Rashid","Bristol Cyber Security Group, University of Bristol, Bristol, U.K.; Bristol Cyber Security Group, University of Bristol, Bristol, U.K.; Bristol Cyber Security Group, University of Bristol, Bristol, U.K.; Bristol Cyber Security Group, University of Bristol, Bristol, U.K.; City of London Police, London, U.K.; Bristol Cyber Security Group, University of Bristol, Bristol, U.K.","IEEE Transactions on Software Engineering","16 May 2022","2022","48","5","1515","1528","Cyber security requirements are influenced by the priorities and decisions of a range of stakeholders. Board members and Chief Information Security Officers (CISOs) determine strategic priorities. Managers have responsibility for resource allocation and project management. Legal professionals concern themselves with regulatory compliance. Little is understood about how the security decision-making approaches of these different stakeholders contrast, and if particular groups of stakeholders have a better appreciation of security requirements during decision-making. Are risk analysts better decision makers than CISOs? Do security experts exhibit more effective strategies than board members? This paper explores the effect that different experience and diversity of expertise has on the quality of a team's cyber security decision-making and whether teams with members from more varied backgrounds perform better than those with more focused, homogeneous skill sets. Using data from 208 sessions and 948 players of a tabletop game run <italic>in the wild</italic> by a major national organization over 16 months, we explore how choices are affected by player background (e.g., cyber security experts versus risk analysts, board-level decision makers versus technical experts) and different team make-ups (homogeneous teams of security experts versus various mixes). We find that no group of experts makes significantly better game decisions than anyone else, and that their biases lead them to not fully comprehend what they are defending or how the defenses work.","1939-3520","","10.1109/TSE.2020.3023735","Engineering and Physical Sciences Research Council(grant numbers:EP/M002780/1); DYPOSIT(grant numbers:EP/N021657/2); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9195777","Social and professional topics~computational thinking;applied computing~enterprise computing infrastructures","Games;Stakeholders;Computer security;Decision making;Organizations;Investment","decision making;resource allocation;risk management;security of data;strategic planning","project management;legal professionals;security decision-making;risk analysts;CISOs;board members;homogeneous skill sets;cyber security experts;board-level decision makers;homogeneous teams;game decisions;stakeholder groups;cyber security requirements;chief information security officers;strategic priorities;resource allocation;tabletop game","","","","48","IEEE","14 Sep 2020","","","IEEE","IEEE Journals"
"Practical Adoption of Cloud Computing in Power Systems—Drivers, Challenges, Guidance, and Real-World Use Cases","S. Zhang; A. Pandey; X. Luo; M. Powell; R. Banerji; L. Fan; A. Parchure; E. Luzcando","Advanced Technology Solutions Department, ISO New England, Holyoke, MA, USA; Pearl Street Technologies, Pittsburgh, PA, USA; Advanced Technology Solutions Department, ISO New England, Holyoke, MA, USA; Power and Utilities, Amazon Web Services, Herndon, VA, USA; Power and Utilities, Amazon Web Services, Herndon, VA, USA; Department of Engineering Technology, University of Houston, Houston, TX, USA; Power and Utilities, Amazon Web Services, Herndon, VA, USA; Architecture and Technology Innovation, Midcontinent ISO, Carmel, IN, USA","IEEE Transactions on Smart Grid","21 Apr 2022","2022","13","3","2390","2411","Motivated by the Federal Energy Regulatory Commission’s (FERC) recent direction and ever-growing interest in cloud adoption by power utilities, a Task Force was established to assist power system practitioners with secure, reliable and cost-effective adoption of cloud technology to meet various business needs. This paper summarizes the business drivers, challenges, guidance, and best practices for cloud adoption in power systems from the Task Force’s perspective, after extensive review and deliberation by its members, including grid operators, utility companies, software vendors, and cloud providers. The paper begins by enumerating various business drivers for cloud adoption in the power industry. It follows with the discussion of the challenges and risks of migrating power grid utility workloads to the cloud. Next, for each corresponding challenge or risk, the paper provides appropriate guidance. Notably, the guidance is directed toward power industry professionals who are considering cloud solutions and are yet hesitant about the practical execution. Finally, to tie all the sections together, the paper documents various real-world use cases of cloud technology in the power system domain, which both the power industry practitioners and software vendors can look toward to design and select their own future cloud solutions. We hope that the information in this paper will serve as helpful guidance for the development of NERC guidelines and standards relevant to cloud adoption in the industry.","1949-3061","","10.1109/TSG.2022.3148978","ISO New England, National Science Foundation (NSF)(grant numbers:2045978); C3.ai Inc. and Microsoft Corporation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9703493","Cloud computing;cloud adoption;public cloud;cyber security control;compliance;service reliability;fault-tolerant architecture;resilient infrastructure;operations and planning","Cloud computing;Power industry;Software as a service;Virtual machining;Hardware;Computational modeling;Task analysis","cloud computing;DP industry;electricity supply industry;power engineering computing;power grids","power industry professionals;power system domain;power utilities;cost-effective adoption;cloud computing technology;federal energy regulatory commissions;FERC;task force perspective;grid operators;software vendors;power industry;power grid utility workloads;NERC guidelines","","","","65","IEEE","4 Feb 2022","","","IEEE","IEEE Journals"
"Collaborative Trust Blockchain Based Unbiased Control Transfer Mechanism for Industrial Automation","J. Chen; J. Wu; H. Liang; S. Mumtaz; J. Li; K. Konstantin; A. K. Bashir; R. Nawaz","Shanghai Key Laboratory of Integrated Administration Technologies for Information Security, School of Cyber Security, Shanghai Jiao Tong University, Shanghai, China; Shanghai Key Laboratory of Integrated Administration Technologies for Information Security, School of Cyber Security, Shanghai Jiao Tong University, Shanghai, China; Shanghai Key Laboratory of Integrated Administration Technologies for Information Security, School of Cyber Security, Shanghai Jiao Tong University, Shanghai, China; Instituto de Telecomunicações, Aveiro, Portugal; Shanghai Key Laboratory of Integrated Administration Technologies for Information Security, School of Cyber Security, Shanghai Jiao Tong University, Shanghai, China; Department of Physics of Nanoscale Systems, South Ural State University, Chelyabinsk, Russia; Department of Computing and Mathematics, Manchester Metropolitan University, Manchester, U.K.; Department of Operations, Technology, Events and Hospitality Management, Manchester Metropolitan University, Manchester, U.K.","IEEE Transactions on Industry Applications","17 Jul 2020","2020","56","4","4478","4488","In industrial automation, numerous devices are interconnected in smart factories for further monitor and control. Various infrastructure devices in industrial automation are usually used for control instruction distribution, data collection, and collaboration of the industrial applications. Recent security threats on industrial automation are more frequent and the industrial control systems lack trust mechanism. Blockchain has been introduced due to its decentralization and security promise, but the election results in the original designs could be biased without collaboration trust, which leads the blockchain-based industry applications invalid. In addition, in existing solutions, neither supernodes nor normal nodes in blockchain can transfer their control authorities for disaster backup. To address the aforementioned challenges, this article proposes a collaborative trust based unbiased control transfer mechanism (CTM), which realizes a dynamic assignment of industrial control. First, a collaborative trust based delegated proof of stake consensus is proposed for determining the authorities of control dynamically and unbiasedly, by designing a lightweight trust propagation protocol. Second, a CTM for checking, alarming, and restarting CTM is devised for the disaster backup. The simulation results demonstrate the CTM, which is feasible and effective for industrial automation security.","1939-9367","","10.1109/TIA.2019.2959550","National Natural Science Foundation of China(grant numbers:61431008,61571300); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8932415","Blockchain;collaborative trust;control transfer;industrial control systems (ICS);security","Blockchain;Integrated circuits;Collaboration;Automation;Control systems;Cryptography","authorisation;cryptographic protocols;factory automation;industrial control;production engineering computing","industrial automation security;control authorities;blockchain-based industry applications;collaboration trust;trust mechanism;industrial control systems;industrial applications;control instruction distribution;unbiased control transfer mechanism;collaborative trust blockchain","","20","","28","IEEE","13 Dec 2019","","","IEEE","IEEE Journals"
"Cyber Threat Predictive Analytics for Improving Cyber Supply Chain Security","A. Yeboah-Ofori; S. Islam; S. W. Lee; Z. U. Shamszaman; K. Muhammad; M. Altaf; M. S. Al-Rakhami","Department of Computer Science and Engineering, University of West London, Ealing London, U.K.; School of Architecture Computing and Engineering (ACE), University of East London, London, U.K.; School of Architecture Computing and Engineering (ACE), University of East London, London, U.K.; Department of Computing and Games, Teesside University, Middlesbrough, U.K.; Visual Analytics for Knowledge Laboratory (VIS2KNOW Lab), School of Convergence, College of Computing and Informatics, Sungkyunkwan University, Seoul, South Korea; Advanced Manufacturing and Industry 4.0 Center, King Abdulaziz City for Science and Technology, Riyadh, Saudi Arabia; Research Chair of Pervasive and Mobile Computing, Information Systems Department, College of Computer and Information Sciences, King Saud University, Riyadh, Saudi Arabia","IEEE Access","8 Jul 2021","2021","9","","94318","94337","Cyber Supply Chain (CSC) system is complex which involves different sub-systems performing various tasks. Security in supply chain is challenging due to the inherent vulnerabilities and threats from any part of the system which can be exploited at any point within the supply chain. This can cause a severe disruption on the overall business continuity. Therefore, it is paramount important to understand and predicate the threats so that organization can undertake necessary control measures for the supply chain security. Cyber Threat Intelligence (CTI) provides an intelligence analysis to discover unknown to known threats using various properties including threat actor skill and motivation, Tactics, Techniques, and Procedure (TT and P), and Indicator of Compromise (IoC). This paper aims to analyse and predicate threats to improve cyber supply chain security. We have applied Cyber Threat Intelligence (CTI) with Machine Learning (ML) techniques to analyse and predict the threats based on the CTI properties. That allows to identify the inherent CSC vulnerabilities so that appropriate control actions can be undertaken for the overall cybersecurity improvement. To demonstrate the applicability of our approach, CTI data is gathered and a number of ML algorithms, i.e., Logistic Regression (LG), Support Vector Machine (SVM), Random Forest (RF), and Decision Tree (DT), are used to develop predictive analytics using the Microsoft Malware Prediction dataset. The experiment considers attack and TTP as input parameters and vulnerabilities and Indicators of compromise (IoC) as output parameters. The results relating to the prediction reveal that Spyware/Ransomware and spear phishing are the most predictable threats in CSC. We have also recommended relevant controls to tackle these threats. We advocate using CTI data for the ML predicate model for the overall CSC cyber security improvement.","2169-3536","","10.1109/ACCESS.2021.3087109","Deanship of Scientific Research at King Saud University through the Vice Deanship of Scientific Research Chairs: Chair of Pervasive and Mobile Computing; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9448097","Cyber threat intelligence;machine learning;cyber supply chain;predictive analytic;cyber security;tactic techniques procedures","Supply chains;Machine learning;Prediction algorithms;Cyberattack;Computer security;Classification algorithms;Support vector machines","business continuity;computer crime;decision trees;invasive software;learning (artificial intelligence);regression analysis;security of data;support vector machines","Cyber Threat Intelligence;inherent CSC vulnerabilities;CTI data;predictable threats;CSC cyber security improvement;Cyber Threat predictive analytics;improving Cyber Supply Chain security;Cyber Supply Chain system;different sub-systems;known threats;properties including threat actor skill","","5","","40","CCBY","7 Jun 2021","","","IEEE","IEEE Journals"
"Blockchain Applications for Industry 4.0 and Industrial IoT: A Review","T. Alladi; V. Chamola; R. M. Parizi; K. R. Choo","Department of Electrical and Electronics Engineering, BITS-Pilani, Pilani, India; Department of Electrical and Electronics Engineering, BITS-Pilani, Pilani, India; College of Computing and Software Engineering, Kennesaw State University, Marietta, GA, USA; Department of Information Systems and Cyber Security, The University of Texas at San Antonio, San Antonio, TX, USA","IEEE Access","16 Dec 2019","2019","7","","176935","176951","The potential of blockchain has been extensively discussed in the literature and media mainly in finance and payment industry. One relatively recent trend is at the enterprise-level, where blockchain serves as the infrastructure for internet security and immutability. Emerging application domains include Industry 4.0 and Industrial Internet of Things (IIoT). Therefore, in this paper, we comprehensively review existing blockchain applications in Industry 4.0 and IIoT settings. Specifically, we present the current research trends in each of the related industrial sectors, as well as successful commercial implementations of blockchain in these relevant sectors. We also discuss industry-specific challenges for the implementation of blockchain in each sector. Further, we present currently open issues in the adoption of the blockchain technology in Industry 4.0 and discuss newer application areas. We hope that our findings pave the way for empowering and facilitating research in this domain, and assist decision-makers in their blockchain adoption and investment in Industry 4.0 and IIoT space.","2169-3536","","10.1109/ACCESS.2019.2956748","National Science Foundation(grant numbers:1925723); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8917991","Internet of Things;industry 40;industrial IoT;blockchain;smart contracts","Industries;Medical services;Peer-to-peer computing;Internet of Things;Contracts;Production","cryptocurrencies;distributed databases;Internet of Things;production engineering computing","Industrial IoT;finance;payment industry;Internet security;blockchain applications;industrial sectors;blockchain technology;blockchain adoption;Industry 4.0;Industrial Internet of Things","","105","","119","CCBY","29 Nov 2019","","","IEEE","IEEE Journals"
